Fiscal Year,County,Region,Removal Stage,Removals
2021,Anderson,4-Tyler,Family Preservation,5
2021,Anderson,4-Tyler,Investigation,33
2021,Andrews,9-Midland,Family Preservation,3
2021,Andrews,9-Midland,Investigation,8
2021,Angelina,5-Beaumont,Family Preservation,14
2021,Angelina,5-Beaumont,Investigation,54
2021,Aransas,11-Edinburg,Family Preservation,3
2021,Aransas,11-Edinburg,Investigation,19
2021,Archer,2-Abilene,Family Preservation,0
2021,Archer,2-Abilene,Investigation,2
2021,Atascosa,8-San Antonio,Family Preservation,31
2021,Atascosa,8-San Antonio,Investigation,47
2021,Austin,6-Houston,Family Preservation,1
2021,Austin,6-Houston,Investigation,13
2021,Bandera,8-San Antonio,Family Preservation,3
2021,Bandera,8-San Antonio,Investigation,15
2021,Bastrop,7-Austin,Family Preservation,19
2021,Bastrop,7-Austin,Investigation,47
2021,Baylor,2-Abilene,Family Preservation,0
2021,Baylor,2-Abilene,Investigation,8
2021,Bee,11-Edinburg,Family Preservation,16
2021,Bee,11-Edinburg,Investigation,49
2021,Bell,7-Austin,Family Preservation,82
2021,Bell,7-Austin,Investigation,659
2021,Bexar,8-San Antonio,Family Preservation,524
2021,Bexar,8-San Antonio,Investigation,1198
2021,Blanco,7-Austin,Family Preservation,0
2021,Blanco,7-Austin,Investigation,7
2021,Bosque,7-Austin,Family Preservation,1
2021,Bosque,7-Austin,Investigation,24
2021,Bowie,4-Tyler,Family Preservation,13
2021,Bowie,4-Tyler,Investigation,45
2021,Brazoria,6-Houston,Family Preservation,18
2021,Brazoria,6-Houston,Investigation,69
2021,Brazos,7-Austin,Family Preservation,30
2021,Brazos,7-Austin,Investigation,123
2021,Brewster,10-El Paso,Family Preservation,0
2021,Brewster,10-El Paso,Investigation,3
2021,Briscoe,1-Lubbock,Family Preservation,0
2021,Briscoe,1-Lubbock,Investigation,1
2021,Brooks,11-Edinburg,Family Preservation,7
2021,Brooks,11-Edinburg,Investigation,11
2021,Brown,2-Abilene,Family Preservation,30
2021,Brown,2-Abilene,Investigation,73
2021,Burleson,7-Austin,Family Preservation,0
2021,Burleson,7-Austin,Investigation,23
2021,Burnet,7-Austin,Family Preservation,6
2021,Burnet,7-Austin,Investigation,57
2021,Caldwell,7-Austin,Family Preservation,15
2021,Caldwell,7-Austin,Investigation,31
2021,Calhoun,8-San Antonio,Family Preservation,1
2021,Calhoun,8-San Antonio,Investigation,7
2021,Callahan,2-Abilene,Family Preservation,4
2021,Callahan,2-Abilene,Investigation,16
2021,Cameron,11-Edinburg,Family Preservation,107
2021,Cameron,11-Edinburg,Investigation,132
